Author	License	Name	URL	Version	File
Kirill Simonov	MIT License	PyYAML	https://pyyaml.org/	6.0.1	.licenses\LICENSE.PyYAML.6.0.1(MIT License).txt
Georg Brandl <georg@python.org>	BSD License	Pygments	https://pygments.org	2.16.1	.licenses\LICENSE.Pygments.2.16.1(BSD License).txt
Kenneth Reitz	Mozilla Public License 2.0 (MPL 2.0)	certifi	https://github.com/certifi/python-certifi	2023.7.22	.licenses\LICENSE.certifi.2023.7.22(Mozilla Public License 2.0 (MPL 2.0)).txt
Ahmed TAHRI	MIT License	charset-normalizer	https://github.com/Ousret/charset_normalizer	3.2.0	.licenses\LICENSE.charset-normalizer.3.2.0(MIT License).txt
David Goodger	BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License	docutils	https://docutils.sourceforge.io/	0.20.1	.licenses\LICENSE.docutils.0.20.1(BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License).txt
Kim Davies <kim@cynosure.com.au>	BSD License	idna	https://github.com/kjd/idna	3.4	.licenses\LICENSE.idna.3.4(BSD License).txt
Jason R. Coombs	Apache Software License	importlib-metadata	https://github.com/python/importlib_metadata	6.8.0	.licenses\LICENSE.importlib-metadata.6.8.0(Apache Software License).txt
Jason R. Coombs	MIT License	jaraco.classes	https://github.com/jaraco/jaraco.classes	3.3.0	.licenses\LICENSE.jaraco.classes.3.3.0(MIT License).txt
Kang Zhang	MIT License	keyring	https://github.com/jaraco/keyring	24.2.0	.licenses\LICENSE.keyring.24.2.0(MIT License).txt
Chris Sewell <chrisj_sewell@hotmail.com>	MIT License	markdown-it-py	https://github.com/executablebooks/markdown-it-py	3.0.0	.licenses\LICENSE.markdown-it-py.3.0.0(MIT License).txt
Taneli Hukkinen <hukkin@users.noreply.github.com>	MIT License	mdurl	https://github.com/executablebooks/mdurl	0.1.2	.licenses\LICENSE.mdurl.0.1.2(MIT License).txt
Erik Rose <erikrose@grinchcentral.com>	MIT License	more-itertools	https://github.com/more-itertools/more-itertools	10.1.0	.licenses\LICENSE.more-itertools.10.1.0(MIT License).txt
messense <messense@icloud.com>	MIT	nh3	UNKNOWN	0.2.14	.licenses\LICENSE.nh3.0.2.14(MIT).txt
The pip developers	MIT License	pip	https://pip.pypa.io/	23.2.1	.licenses\LICENSE.pip.23.2.1(MIT License).txt
Tres Seaver, Agendaless Consulting	MIT License	pkginfo	https://code.launchpad.net/~tseaver/pkginfo/trunk	1.9.6	.licenses\LICENSE.pkginfo.1.9.6(MIT License).txt
Luke Maurits <luke@maurits.id.au>	BSD License	prettytable	https://github.com/jazzband/prettytable	3.9.0	.licenses\LICENSE.prettytable.3.9.0(BSD License).txt
Enthought Inc.	BSD-3-Clause	pywin32-ctypes	https://github.com/enthought/pywin32-ctypes	0.2.2	.licenses\LICENSE.pywin32-ctypes.0.2.2(BSD-3-Clause).txt
The Python Packaging Authority <admin@mail.pypi.org>	Apache Software License	readme-renderer	UNKNOWN	42.0	.licenses\LICENSE.readme-renderer.42.0(Apache Software License).txt
Kenneth Reitz	Apache Software License	requests	https://requests.readthedocs.io	2.31.0	.licenses\LICENSE.requests.2.31.0(Apache Software License).txt
Ian Cordasco, Cory Benfield	Apache Software License	requests-toolbelt	https://toolbelt.readthedocs.io/	1.0.0	.licenses\LICENSE.requests-toolbelt.1.0.0(Apache Software License).txt
Ian Stapleton Cordasco	Apache Software License	rfc3986	http://rfc3986.readthedocs.io	2.0.0	.licenses\LICENSE.rfc3986.2.0.0(Apache Software License).txt
Will McGugan	MIT License	rich	https://github.com/Textualize/rich	13.5.3	.licenses\LICENSE.rich.13.5.3(MIT License).txt
Python Packaging Authority	MIT License	setuptools	https://github.com/pypa/setuptools	65.5.0	.licenses\LICENSE.setuptools.65.5.0(MIT License).txt
Donald Stufft and individual contributors	Apache Software License	twine	https://twine.readthedocs.io/	4.0.2	.licenses\LICENSE.twine.4.0.2(Apache Software License).txt
Andrey Petrov <andrey.petrov@shazow.net>	MIT License	urllib3	https://github.com/urllib3/urllib3/blob/main/CHANGES.rst	2.0.5	.licenses\LICENSE.urllib3.2.0.5(MIT License).txt
Jeff Quast	MIT License	wcwidth	https://github.com/jquast/wcwidth	0.2.6	.licenses\LICENSE.wcwidth.0.2.6(MIT License).txt
Daniel Holth <dholth@fastmail.fm>	MIT License	wheel	https://wheel.readthedocs.io/en/stable/news.html	0.41.2	.licenses\LICENSE.wheel.0.41.2(MIT License).txt
Jason R. Coombs	MIT License	zipp	https://github.com/jaraco/zipp	3.17.0	.licenses\LICENSE.zipp.3.17.0(MIT License).txt
